indice_test,indice_original,etiqueta_real,decision_ensamble,ensamble_correcto,ind_correctos_de,tipo_discrepancia,texto_muestra,pred_ComplementNB,pred_LogisticRegression,pred_LinearSVM
1430,15954,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
1435,3893,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
1437,2148,media,media,True,2/3,1-2 (alta-media),,media,alta,media
1439,9359,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1446,14257,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1447,15535,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1450,8210,alta,alta,True,1/3,1-2 (alta-media),,media,alta,media
1457,7250,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1459,6948,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1467,17877,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1472,3186,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
1473,13550,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1475,13656,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1478,18319,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1481,10823,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1485,18581,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1488,3859,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1489,1933,alta,alta,True,2/3,2-1 (alta-media),,alta,media,alta
1494,12734,alta,alta,True,1/3,1-2 (alta-media),,media,alta,media
1496,13344,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1497,16100,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
1498,3681,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1499,11619,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1501,11342,media,alta,False,2/3,1-2 (alta-media),,alta,media,media
1511,11902,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
1515,16494,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1516,5262,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1519,3506,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1520,15877,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1527,4409,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1532,9311,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
1535,10943,media,media,True,2/3,1-2 (alta-media),,media,alta,media
1536,10626,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1539,18128,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1540,17577,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1544,1835,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
1545,4123,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
1561,13668,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1562,13589,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1563,7257,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1571,12736,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1572,1404,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1573,42,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1580,2248,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1582,12529,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1583,13884,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1584,161,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1585,13726,media,alta,False,2/3,1-2 (alta-media),,media,alta,media
1586,8406,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1587,1619,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1588,16548,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1593,7489,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1597,16880,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1600,7645,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1608,7105,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1613,3399,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1621,344,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1622,16082,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1628,4669,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1634,6130,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1639,8478,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1641,1199,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1644,10929,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
1649,18360,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1650,15549,media,media,True,2/3,1-2 (alta-media),,media,alta,media
1655,10598,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1657,1937,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1658,3666,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1663,16958,media,alta,False,1/3,2-1 (alta-media),,alta,media,alta
1670,16711,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1671,7157,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
1672,7837,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
1678,16263,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
1683,1237,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1684,13709,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1685,10890,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1687,10138,media,media,True,2/3,1-2 (alta-media),,media,alta,media
1690,1780,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1691,7464,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1694,13627,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1697,1419,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
1698,13967,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1699,5503,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1703,16913,media,media,True,2/3,1-2 (alta-media),,media,alta,media
1713,7003,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1716,6944,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1718,18403,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1719,17580,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1720,12778,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1731,18910,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1732,16694,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1742,11396,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1744,8577,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1749,6625,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
1751,12777,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1753,3282,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
1756,14848,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
1761,4438,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1763,13243,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1770,14613,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1772,3534,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
1773,7596,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
1780,8922,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
1790,7044,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1791,18054,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1793,6539,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1796,1507,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
1801,7339,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1802,1017,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
1804,2724,media,media,True,2/3,1-2 (alta-media),,media,alta,media
1807,6994,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1816,3472,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1819,17743,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
1820,2536,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1827,7421,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1828,5888,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1831,10428,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1832,606,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1839,14046,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1842,11183,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1844,13926,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1855,14889,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1866,7090,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1867,18296,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1868,12265,media,media,True,2/3,1-2 (alta-media),,media,alta,media
1869,1852,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
1873,7962,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1883,15320,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1884,15395,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
1885,7041,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1891,8419,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1894,11678,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1902,8251,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1903,7692,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1909,3704,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1912,18355,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1913,18200,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1918,2121,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1919,5204,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1929,13031,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1931,6374,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
1939,8671,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1943,4805,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1947,6408,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
1950,5895,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1953,6227,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
1961,18508,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1965,14601,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
1971,4519,media,media,True,2/3,1-2 (alta-media),,media,alta,media
1977,6582,media,media,True,2/3,1-2 (alta-media),,media,alta,media
1983,3802,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
1990,4066,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1993,3137,alta,alta,True,2/3,2-1 (alta-media),,alta,media,alta
2003,2017,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2005,13664,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2019,10352,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2026,14149,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2033,9824,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
2035,8662,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
2036,3920,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2037,13064,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2049,13412,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2052,9991,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2054,13610,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2058,15304,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2059,12105,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
2061,3914,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2063,17065,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
2069,5155,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2071,10810,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2073,9664,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
2088,11401,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2090,18495,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2091,17430,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2092,13028,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2099,12176,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2100,3306,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2101,10432,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2102,12327,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2103,9718,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2107,1277,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2108,9912,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2123,11909,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
2127,2785,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2138,8832,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2143,15184,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2147,17942,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2150,11079,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2154,3129,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2155,15075,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2160,3503,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
2166,3560,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2168,4824,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2173,18254,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2176,7556,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2177,6331,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2189,10570,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2202,1467,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2204,1555,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2213,17193,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
2217,11579,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2218,12690,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2219,3417,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
2222,18150,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2223,6412,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
2234,5238,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2237,9128,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
2238,15080,media,alta,False,2/3,1-2 (alta-media),,media,alta,media
2240,17750,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
2244,4462,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
2247,6774,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2249,13678,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
2252,6148,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2253,8866,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2261,7167,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2262,16658,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2263,18456,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2267,11730,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2272,6709,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2279,14125,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2289,585,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2292,13951,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
2293,12367,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2301,15848,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
2307,15506,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2308,618,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2320,4660,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
2321,14337,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2324,2983,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2327,350,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
2331,17457,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
2334,15964,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2339,9555,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
2342,14328,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2343,2491,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2344,12866,alta,alta,True,1/3,1-2 (alta-media),,alta,media,media
2346,5175,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2358,194,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
2363,11689,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2370,12287,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2372,1445,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2375,1449,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2378,10736,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2380,15615,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2390,7753,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
2391,12825,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2393,10953,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2406,16942,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2411,11344,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2420,16983,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2424,3307,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2431,16067,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2436,17334,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2437,12322,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2438,14951,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2444,18570,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2446,3615,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2448,16996,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
2449,2034,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
2451,2762,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2454,940,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2459,12874,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
2463,17632,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
2464,11408,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2466,2947,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2467,14437,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
2469,16177,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2474,9671,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2475,604,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2480,9068,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2482,2760,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2483,17536,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
2490,13254,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2491,13380,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
2493,2372,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2495,17956,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
2496,7669,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2500,5323,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2503,15346,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2507,8479,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2514,439,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
2518,3382,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
2522,7197,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2529,12565,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2531,8826,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2536,13677,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2537,4927,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2542,18009,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2543,10908,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2546,5706,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2547,15621,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2550,16157,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2556,14090,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2558,9491,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2567,12352,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2571,15266,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2579,18261,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2585,10115,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2587,4636,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2588,9455,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2591,420,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
2595,15053,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2597,7162,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2600,4207,media,media,True,1/3,2-1 (alta-media),,alta,alta,media
2614,12920,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2618,11467,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2620,13687,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2626,14114,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2632,10410,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2635,6091,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
2636,11737,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2642,11523,media,media,True,1/3,2-1 (alta-media),,alta,alta,media
2643,10639,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2655,14720,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2658,18043,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
2662,16564,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2665,11652,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
2668,227,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2670,18464,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2673,5095,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2676,8044,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2677,18524,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2679,14615,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2683,3016,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2693,15297,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2694,17365,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2696,17298,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
2709,6766,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
2711,6368,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
2712,18279,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2714,9649,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2717,2434,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
2718,10954,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2730,12959,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
2733,13250,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2734,1483,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2742,4626,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2743,14718,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2744,17915,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
2745,13663,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2748,5934,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2749,1121,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2750,18883,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2759,9191,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
2760,7080,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2763,1476,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2770,4922,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
2771,18380,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2776,9575,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2777,10501,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
2778,14810,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2783,14656,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2789,12486,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2793,13359,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2797,7635,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2801,11356,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
2803,3438,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2808,10407,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2810,15133,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2811,9674,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2817,15840,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2819,11048,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2824,1514,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
2827,3148,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2828,2987,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2829,6850,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2830,15526,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2837,1872,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
2839,3196,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
2840,1692,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2843,5788,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
2844,14295,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2860,14925,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2864,4572,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2866,13544,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2867,5485,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2868,1193,media,alta,False,2/3,1-2 (alta-media),,media,alta,media
2876,7263,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2880,12656,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2885,9397,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2887,3921,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2892,3759,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
2894,5648,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2895,16095,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2897,18292,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
2898,10055,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
2903,15226,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2906,8828,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2907,1806,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2908,18657,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2911,5197,media,alta,False,2/3,1-2 (alta-media),,alta,media,media
2912,7638,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2915,18375,media,media,True,2/3,1-2 (alta-media),,alta,media,media
2917,17,alta,media,False,2/3,2-1 (alta-media),,alta,alta,media
2926,337,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
2927,3130,media,media,True,2/3,1-2 (alta-media),,media,alta,media
2928,18523,media,media,True,2/3,1-2 (alta-media),,alta,media,media
